OBJECTID,Country,Region,Subregion,Location,State_Region,Location_type,Project_name,Capacity_m3_d,Size_,Capacity_MGD,Capacity_MIGD,Units,Unit_size_m3_d,Unit_size_MGD_,Unit_size_MIGD_,Technical_notes,Technology,Thermal_design,Thermal_equipment,Membrane_supplier_RO_,Membrane_type_RO_,ERD_supplier,ERD_type,DAF_pretreatment_supplier,DAF_brand,MF_UF_Pretreatment_Supplier,MF_UF_brand,Other_pretreatment,Feedwater,Award_date,Online_date,Consultant,Consultant_2,Consultant_3,Customer_type,Industry,Customer,Plant_status,Plant_type,Plant_supplier,Plant_supplier_share,Plant_supplier_2,Plant_supplier_2_share,Plant_supplier_3,Plant_supplier_3_share,Plant_supplier_4,Plant_supplier_4_share,Plant_supplier_5,Plant_supplier_5_share,Procurement_model,Concession_period,Dev_consortium,Developer,Dev_share,Developer_2,Dev2_share,Developer_3,Dev3_share,Developer_4,Dev4_share,Developer_5,Dev5_share,Developer_6,Dev6_share,EPC_price,Water_price_USD_m3_,Last_update,Latitude,Longitude,Contact,Feedwater_Ph,Feedwater_salinity,Feedwater_temp_minimum,Feedwater_temp_maximum,Product_water_salinity,Product_water_temp,Civil_contractor_offshore_,Civil_contractor_onshore_,Consultant_1,Developer_codeveloper,Engineering_Consultancy,Environmental_advisor,EPC_contractor_desal_,EPC_contractor_pipeline_,EPC_contractor_power_,EPCM_contractor,Equipment_Supplier_Desal_uns_87,Equipment_supplier_Membranes_88,Equipment_Supplier_Chemical__89,Equipment_supplier_DAF_pretr_90,Equipment_Supplier_Energy_Re_91,Equipment_Supplier_Glass_Rei_92,Equipment_Supplier_High_Pres_93,Equipment_Supplier_Low_Press_94,Equipment_Supplier_Membranes_95,Equipment_Supplier_Membranes_96,Equipment_Supplier_Motors,Equipment_Supplier_Pipes_uns_98,Equipment_Supplier_Pressure__99,Equipment_Supplier_Pretreatm_100,Equipment_Supplier_Pumps_Bri_101,Equipment_Supplier_Pumps_Bri_102,Equipment_Supplier_Pumps_Hig_103,Equipment_Supplier_Pumps_Not_104,Equipment_Supplier_Steel,Equipment_Supplier_Valves,Financial_advisor,Government_agency,Holding_Company,Insurance_adviser,Legal_advisor,Lender,Lender_engineer,O_M_contractor,Off_taker,Owner___Client,Owners_engineer,Prime_contractor,Project_Company,Sponsor,Subcontractor,Technical_advisor,Technology_provider,Winner,Short_listed1,Short_listed2,Short_listed3,Short_listed4,Short_listed5,Bid_submitted1,Bid_submitted2,Bid_submitted3,Bid_submitted4,Bid_submitted5,Pre_qualified1,Pre_qualified2,Pre_qualified3,Pre_qualified4,Pre_qualified5,Statement_of_qualification1,Statement_of_qualification2,Statement_of_qualification3,Statement_of_qualification4,Statement_of_qualification5,RO_System,RO_Configuration,RO_Feed_Pump_Drive,RO_Control_Type,RO_Energy_Recovery,RO_Electrical_Power_Consumpt_150,RO_Membrane_Type,RO_Pre_Treament_1st_Stage,RO_NPS_Or_MWCO,RO_Pre_Treament_2nd_Stage,RO_Pre_Treament_3rd_Stage,RO_Pre_Treament_4th_Stage,RO_Pre_Treament_5th_Stage,RO_Passivation,RO_Disinfection,RO_Dosed_Chemical_1st_Stage,MED_Design,MED_System,MED_Equipment,MED_Type,MED_Geometry,MED_Configuration,MED_Power_Consumption,MED_Gain_Output_Ratio,MSF_Design,MSF_System,MSF_Equipment,MSF_Type,MSF_Geometry,MSF_Configuration,MSF_Heat_Recovery_Stages,MSF_Heat_Rejection_Stages,MSF_Gain_Output_Ratio
11,U.S.A.,Americas,North America,Tampa Bay,Florida,Land based,Tampa Bay ,"108,831",XL,28.750000000000000,23.940000000000001,7,15547.290000000000873,4.110000000000000,3.420000000000000,,RO (Reverse Osmosis),,,Hydranautics,Spiral Wound Membrane,Calder GmbH - A Flowserve Company,Turbo Charger,,,,,"Single Stage Sand Filtration,Coagulation-Flocculation",Seawater (TDS 20000ppm - 50000ppm),2004,2007,PB WATER,"R.W. Beck, Inc.",,Municipalities as drinking water (TDS 10ppm - <1000ppm),,Tampa Bay Water,Online,Stand-alone,RWE,50,Acciona S.A.,50,,,,,,,DBO,20,Consortium,Poseidon Resources Corporation,50.000000000000000,Shaw Stone and Webster,50.000000000000000,,,,,,,,,,0.657000000000000,2016-06-27 09:18:13 UTC,27.702870999999998,-82.583494700000003,,26,32000,18,40,,,,,"PB WATER / R.W. Beck, Inc.",Poseidon Resources Corporation / Shaw Stone and Webster,,,American Water- Pridesa LLC / Acciona Agua,,,,ATI Allegheny Ludlum / Pentair Water Treatment,Dow Filmtec,,,Calder GmbH - A Flowserve Company,,,,,,,Rolled Alloys,,,,,,Clyde Union Pumps,,"MTS Valves & Technology, S.L.",,,Consortium,,,,,,,Tampa Bay Water,,,,,King Engineering,Mott MacDonald / Missimer International,Jawle Consulting Inc.,,,,,,,,,,,,,,,,,,,,,,Two Pass,Brine Staging,Steam Turbine,Feed Control,Turbo Charger,3.000000000000000,Spiral Wound Membrane,Single Stage Sand Filtration,,Coagulation-Flocculation,,,,Lime water,Chlorination,Potassium Permanganate,,,,,,,,,,,,,,,,,
12,U.S.A.,Americas,North America,El Paso,Texas,Land based,Kay Bailey Hutchinson Facility,"104,087",XL,27.500000000000000,22.899999999999999,5,20817.400000000001455,5.500000000000000,4.580000000000000,"15MGD permeate capacity, with a further 12.5MGD from blend wells in order to meet Cl and TDS targets",RO (Reverse Osmosis),,,,Spiral Wound Membrane,"Energy Recovery, Inc.",,,,Hydranautics,,"Acidification,Anti Scaling Inhibition",Brackish water or inland water (TDS 3000ppm - <20000ppm),2001,2007,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,El Paso Water Utilities,Online,Stand-alone,Biwater,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"87,000,000 USD",0.400000000000000,2018-02-22 17:11:51 UTC,31.804124099999999,-106.327089900000004,,8,2500,16,30,250,,,,,,,,"Biwater, Inc.",,,,King Lee Technologies,,,,"Energy Recovery, Inc.",,,,,Hydranautics,,,,,,,,,,,,,Biwater,,,Municipal Bonds,,,,El Paso Water Utilities,,,,,,"CDM, Inc.",,,,,,,,,,,,,,,,,,,,,,,Single Pass,Brine Staging,Electric Motor,Feed Control,,1.800000000000000,Spiral Wound Membrane,Acidification,,Anti Scaling Inhibition,,,,Lime water,Chlorination,Sodium Hypochlorite,,,,,,,,,,,,,,,,,
13,U.S.A.,Americas,North America,Palm Beach,Florida,Land based,Palm Beach County WTP No. 9,"96,500",XL,25.500000000000000,21.230000000000000,8,12062.500000000000000,3.190000000000000,2.650000000000000,,RO (Reverse Osmosis),,,,,,,,,Koch Membrane Systems,,,River water or low concentrated saline water (TDS 500ppm - <3000ppm),1999,2005,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,Palm Beach County Water Utilities Department,Online,Stand-alone,"Emcor Group, Inc.",100,,,,,,,,,EPC,,,"Biwater, Inc.",100.000000000000000,,,,,,,,,,,"38,000,000 USD",,2015-03-13 12:17:05 UTC,26.705620600000000,-80.036429699999999,,8,900,18,28,200,,,,,"Biwater, Inc.",,,Poole and Kent Corporation,,,,,,,,,,,,,Koch Membrane Systems,,,,,,,,,,,,,"Emcor Group, Inc.",,,Municipal Bonds,,,,Palm Beach County Water Utilities Department,,,,,,"CDM, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,U.S.A.,Americas,North America,Palm Beach,Florida,Land based,Palm Beach 3,"94,700",XL,25.020000000000000,20.829999999999998,10,9470.000000000000000,2.500000000000000,2.080000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,River water or low concentrated saline water (TDS 500ppm - <3000ppm),2002,2004,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,Palm Beach County Water Utilities Department,Online,Stand-alone,Biwater Plc,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"36,500,000 USD",,2015-03-13 12:18:02 UTC,26.705620600000000,-80.036429699999999,,,900,,,200,,,,,,,,"Biwater, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,Biwater Plc,,,,,,,Palm Beach County Water Utilities Department,,,,,,"CDM, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,U.S.A.,Americas,North America,Carson,California,Land based,Carson Regional Water Recycling Facility (CRWRF) Expansion,"94,625",XL,25.000000000000000,20.820000000000000,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),,,,,,Industry (TDS <10ppm),,West Basin Municipal Water District,Cancelled,,,,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2018-05-25 11:14:10 UTC,33.831674499999998,-118.281693000000004,Don W. Zylstra.E-mail: donz@westbasin.org. Tel: +1 310 217 2411.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Basin Municipal Water District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,U.S.A.,Americas,North America,Santa Clara,California,,"Silicon Valley AWPC expansion, CA","90,840",XL,24.000000000000000,19.980000000000000,,,,,,RO (Reverse Osmosis),,,,,,,,,,,Microfiltration,Wastewater,,,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,Santa Clara Valley Water District ,Planned,Stand-alone,,,,,,,,,,,DBO,30,,,,,,,,,,,,,,,,2018-04-30 15:30:59 UTC,37.354107900000002,-121.955235599999995,"Beth Redmond (Unit Manager, Capital Program Planning and Analysis, SCVWD). Tel: +1 408 630 2682. E-mail: bredmond@valleywater.org. Mike Munson (Santa Clara Valley Water District). Tel: +1 408 630 2926. E-mail: mmunson@valleywater.org. Katherine Oven (Deputy Operating Officer, SCVWD). Tel: +1 408 630 3126. E-mail: koven@valleywater.org. Luis Jaimes (Senior Project Manager, Recycled & Purified Water, Santa Clara Valley Water District). Tel: +1 408 630 2576. E-mail: ljaimes@valleywater.org. Hossein Ashktorab (Unit Manager, Recycled & Purified Water, Santa Clara Valley Water District). Tel: +1 408 630 2291. E-mail: hashktorab@valleywater.org. Nancy Pan (Associate Civil Engineer, Santa Clara Valley Water District). Tel: +1 408 630 2028. E-mail: npan@valleywater.org",,,,,,,,,,,Woodard & Curran (ex-RMC Water and Environment),Todd Groundwater Inc,,,,,,,,,,,,,,,,,,,,,,,,,"Carollo Engineers, Inc.",,,,,,,,,Santa Clara Valley Water District ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microfiltration,,,,,,,UV irradiation,,,,,,,,,,,,,,,,,,
17,U.S.A.,Americas,North America,Corpus Christi,Texas,Land based,"Corpus Christi SWRO, TX","87,065",XL,23.000000000000000,19.149999999999999,,,,,,RO (Reverse Osmosis),,,Hydranautics,,,ERI,,,,,"Dissolved Air Flotion (DAF),Ultrafiltration",Seawater (TDS 20000ppm - 50000ppm),,,,,,Industry (TDS <10ppm),,M&G Group (Gruppo Mossi & Ghisolfi) / City of Corpus Christi / Corpus Christi Polymers LLC,Construction,,,,,,,,,,,,DBO,,,,,,,,,,,,,,,,,2018-08-28 13:11:03 UTC,27.800582800000001,-97.396381000000005,"Jiangang (Daniel) Deng (Project Manager, City of Corpus Christi). Tel: +1 361 826 3256. E-mail: jiangangd@cctexas.com",,,,,,,,,,,"Freese & Nichols, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M&G Group (Gruppo Mossi & Ghisolfi) / City of Corpus Christi / Corpus Christi Polymers LLC,,,,U.S. Bureau of Reclamation,,,,,,,,,,,,,,,,,,,,,,,,,Two Pass,,,,ERI,,,Dissolved Air Flotion (DAF),,Ultrafiltration,,,,,,,,,,,,,,,,,,,,,,,
18,U.S.A.,Americas,North America,Corpus Christi,Texas,Land based,"Corpus Christi industrial BOO, TX","75,700",XL,20.000000000000000,16.649999999999999,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,Seawater (TDS 20000ppm - 50000ppm),,,,,,Industry (TDS <10ppm),,Texas General Land Office,Planned,,,,,,,,,,,,BOO,,,Seven Seas Water Corporation,100.000000000000000,,,,,,,,,,,,,2018-09-10 13:50:56 UTC,27.800582800000001,-97.396381000000005,"Richard Whiting (VP of Business Development, Seven Seas Water). Tel: +1 340 775 6607. E-mail: whiting@7seaswater.com. Courtney Denihan (Director of Financial Planning & Analysis, Seven Seas Water). Tel: +1 813 818 4076. E-mail: cdenihan@aquaventure.com",,,,,,,,,,Seven Seas Water Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Texas General Land Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,U.S.A.,Americas,North America,California,California,Land based,"Bay Area Regional Desalination Project (BARDP), CA","75,700",XL,20.000000000000000,16.649999999999999,,,,,"Planned capacity of between 20MGD (75,700m³/d) and 50MGD (189,250m³/d)",RO (Reverse Osmosis),,,,,,,,,,,,Seawater (TDS 20000ppm - 50000ppm),,2020,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,San Francisco Public Utilities Commission / Alameda County Water District / East Bay Municipal Utility District / Santa Clara Valley Water District  / Contra Costa Water  District,On Hold,Stand-alone,,,,,,,,,,,,,,,,,,,,,,,,,,"175,000,000 USD",,2018-01-11 09:37:20 UTC,37.980519000000001,-122.048331000000005,"Hasan Abdullah, Desalination Project Manager, East Bay MUD (+1 510 287 0550)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco Public Utilities Commission / Alameda County Water District / East Bay Municipal Utility District / Santa Clara Valley Water District  / Contra Costa Water  District,,,,,,Montgomery Watson Harza Inc (MWH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,U.S.A.,Americas,North America,South Miami Heights,Florida,Land based,"South Miami Heights BWRO, FL (formerly South District BWRO, FL)","75,700",XL,20.000000000000000,16.649999999999999,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),,,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,Miami-Dade Water and Sewer Department,Planned,Stand-alone,,,,,,,,,,,BOO,20,,,,,,,,,,,,,,"150,000,000 USD",,2016-10-22 21:56:26 UTC,25.597605999999999,-80.380609600000000,"Lester Sola (Director, MDWSD). Tel: +1 786 552 8156. E-mail: solal@miamidade.gov. Daniel Maher (Senior Project Manager, CDM Smith). E-mail: maherdr@cdmsmith.com",,,,,,,,,,,"CDM Smith / A.D.A. Engineering, Inc.","EBS Engineering, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miami-Dade Water and Sewer Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,U.S.A.,Americas,North America,El Segundo,California,Land based,"West Basin, CA","75,700",XL,20.000000000000000,16.649999999999999,,,,,,RO (Reverse Osmosis),,,,,,,,,,,"Microfiltration,Ultrafiltration",Seawater (TDS 20000ppm - 50000ppm),,,Halcrow Group,GHD,"Separation Processes, Inc.",Municipalities as drinking water (TDS 10ppm - <1000ppm),,West Basin Municipal Water District,Planned,Stand-alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-05-25 11:22:38 UTC,33.919179900000003,-118.416465200000005,Zita Yu (West Basin MWD). Tel: +1 310 660 6213. E-mail: zitay@westbasin.org,,,,,,,,,"Halcrow Group / GHD / Separation Processes, Inc. / Malcolm Pirnie (now Arcadis NV) / Arcadis NV / Dudek / Nexant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RosTek Associates, Inc.",,,,,West Basin Municipal Water District,,,,,Bruder Construction Co,Veolia / Montgomery Watson Harza Inc (MWH) / Sinclair Knight Merz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microfiltration,,Ultrafiltration,,,,,,,,,,,,,,,,,,,,,,,
22,U.S.A.,Americas,North America,Gulf Coast,Texas,Land based,"Gulf Coast Aquifer desal, TX","75,086",XL,19.840000000000000,16.520000000000000,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),,,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,Lower Colorado River Authority (LCRA),Planned,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,825,000 USD",,2016-05-27 10:01:10 UTC,29.607046000000000,-95.525150300000007,Karen Haschke. E-mail: karenhaschke@sbcglobal.net. Alternative e-mail: karenhaschke@regionk.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Colorado River Authority (LCRA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,U.S.A.,Americas,North America,Granbury,Texas,Land based,Lake Granbury Surface Water and Treatment System (SWATS),"70,022",XL,18.500000000000000,15.400000000000000,5,14004.399999999999636,3.700000000000000,3.080000000000000,,RO (Reverse Osmosis),,,Dow Filmtec,Spiral Wound Membrane,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2007,2009,CDM Smith,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,Brazos River Authority,Online,,Biwater Plc,100,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2014-08-13 11:30:12 UTC,32.416109609999999,-97.665109630000003,,,1150,,,,,,,CDM Smith,,,,"Biwater, Inc.",,,,,,,,,,,,,,,,,Layne Christensen Company,,,,,,,,,Biwater Plc,,,,,,"City of Granbury / Acton Municipal Utility District / Johnson County Special Utility District / City of Keene, Texas",Brazos River Authority,,Garney Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spiral Wound Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
24,U.S.A.,Americas,North America,Moss Landing,California,Land based,"Moss Landing/Kaiser Refractory site, CA ","68,510",XL,18.100000000000001,15.070000000000000,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,Seawater (TDS 20000ppm - 50000ppm),,2010,Kennedy /Jenks Consultants,,,Industry (TDS <10ppm),,Pajaro/Sunny Mesa Community Services District,Cancelled,Stand-alone,,,,,,,,,,,DBO,,,Poseidon Resources Corporation,100.000000000000000,,,,,,,,,,,,,2018-05-25 11:14:14 UTC,36.804400299999998,-121.786895299999998,Joe Rosa   ,,,,,,,,,Kennedy /Jenks Consultants,Poseidon Resources Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pajaro/Sunny Mesa Community Services District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,U.S.A.,Americas,North America,Sacramento,California,Land based,Sacramento ,"63,000",XL,16.640000000000001,13.859999999999999,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2011,2012,,,,Industry (TDS <10ppm),,,Online,,GdF Suez,100,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2014-08-11 15:13:38 UTC,38.581571900000000,-121.494399599999994,,,,,,,,,,,,,,GE Water & Process Technologies ,,,,,,,,,,,,,,,,,,,,,,,,,,GdF Suez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,U.S.A.,Americas,North America,Indian River County,Florida,Land based,Indian River County,"57,000",XL,15.060000000000000,12.539999999999999,,,,,,RO (Reverse Osmosis),,,"Toray Industries, Inc.",,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2006,2007,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Online,,Biwater Plc,100,,,,,,,,,EPC,,,Poole and Kent Corporation,100.000000000000000,,,,,,,,,,,,,2016-01-19 14:41:00 UTC,27.694773200000000,-80.543845000000005,,,,,,,,,,,Poole and Kent Corporation,,,"Biwater, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,Biwater Plc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,U.S.A.,Americas,North America,North Miami Beach,Florida,Land based,Norwood Water Treatment Plant,"56,775",XL,15.000000000000000,12.490000000000000,3,18925.000000000000000,5.000000000000000,4.160000000000000,3+3,RO (Reverse Osmosis),,,Hydranautics,,,,,,,,Single Stage Sand Filtration,Brackish water or inland water (TDS 3000ppm - <20000ppm),2006,2008,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,City of North Miami Beach,Online,,"Emcor Group, Inc.",100,Biwater Plc,100,,,,,,,DB,,,,,,,,,,,,,,,"35,000,000 USD",,2015-03-27 16:19:28 UTC,25.932777800000000,-80.162777800000001,,,3800,,,,,,,,,"Tetra Tech, Inc.",,"Poole and Kent Corporation / Biwater, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,Consortium,,,,,,,City of North Miami Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Stage Sand Filtration,,,,,,,,,,,,,,,,,,,,,,,,,
28,U.S.A.,Americas,North America,Fargo,North Dakota,Land based,"Fargo WTP expansion, ND","56,775",XL,15.000000000000000,12.490000000000000,,,,,UF pretreatment,RO (Reverse Osmosis),,,,,,,,,GE Water & Process Technologies ,,,River water or low concentrated saline water (TDS 500ppm - <3000ppm),2015,,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Construction,,Doosan,100,,,,,,,,,DB,,,,,,,,,,,,,,,"103,700,000 USD",,2017-05-24 09:38:20 UTC,46.877186299999998,-96.789803399999997,,,,,,,,,,,,,,"Doosan Hydro Technology, Inc.",,,,"Doosan Hydro Technology, Inc.",,,,,,,,,GE Water & Process Technologies ,,,,GE Water & Process Technologies ,,,,,,,,,Doosan,,,,,,,,,Alberici Constructors Inc / Wrigley Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,U.S.A.,Americas,North America,San Diego,California,Land based,South Bay Pure Water Facility,"56,775",XL,15.000000000000000,12.490000000000000,,,,,UV/AOP disinfection,RO (Reverse Osmosis),,,,,,,,,,,,Wastewater,,2021,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Planned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-04-12 14:28:11 UTC,32.715738000000002,-117.161083800000000,"John Helminski (Program Management, Pure Water Program). Tel: +1 858 292 6402. E-mail: jhelminski@sandiego.gov. John Mendivil (City of San Diego). Tel: +1 619 533 3638. E-mail: jmendivil@sandiego.gov. Amy Dorman (City of San Diego). Tel: +1 858 614 5504. E-mail: adorman@sandiego.gov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UV irradiation,,,,,,,,,,,,,,,,,,
30,U.S.A.,Americas,North America,Dana Point,California,Land based,"Doheny Desalination Project, CA (phase 2)","56,775",XL,15.000000000000000,12.490000000000000,10,5677.500000000000000,1.500000000000000,1.250000000000000,,RO (Reverse Osmosis),,,,,,,,,,,,Seawater (TDS 20000ppm - 50000ppm),,,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Planned,,,,,,,,,,,,DBO,,,,,,,,,,,,,,,"237,000,000 USD",,2018-06-04 10:25:04 UTC,33.466972100000000,-117.698107500000006,"Andrew Brunhart (General Manager, South Coast Water District). Tel: +1 949 499 4555, ext. 3160. E-mail: abrunhart@scwd.org. Jody Brennan (Clerk of the Board). Tel: +1 949 499 4555, ext. 3160. E-mail: jbrennan@scwd.org. Sonja Morgan (PIO, South Coast Water District). Tel: +1 949 342 1153. E-mail: smorgan@scwd.org. Mark Donovan (GHD). Tel: +1 949 250 0501. E-mail: mark.donovan@ghd.com. Richard Bell (Engineer, Municipal Water District of Orange County). Tel: +1 714 593 5003. Karl Seckel (District Engineer, MWDOC). Tel: +1 714 593 5024. E-mail: kseckel@mwdoc.com",,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,U.S.A.,Americas,North America,Jupiter,Florida,Land based,Town of Jupiter Nanofiltration Plant,"54,883",XL,14.500000000000000,12.070000000000000,5,10976.600000000000364,2.900000000000000,2.410000000000000,,RO (Reverse Osmosis),,,Dow Filmtec,Spiral Wound Membrane,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2008,2009,Hazen and Sawyer,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,Town of Jupiter,Online,,Biwater Plc,100,,,,,,,,,EPC,,,,,,,,,,,,,,,,,2015-07-17 13:52:20 UTC,26.932675170000000,-80.133022069999996,,,,,,,,,,Hazen and Sawyer,,,,"Biwater, Inc.",,,,,,,,,,,,,,,,Protec Arisawa,,,,,,,,,,Biwater Plc,,,,,,,Town of Jupiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spiral Wound Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,
32,U.S.A.,Americas,North America,Hollywood,Florida,Land based,Hollywood,"52,990",XL,14.000000000000000,11.660000000000000,10,5299.000000000000000,1.400000000000000,1.170000000000000,,RO (Reverse Osmosis),,,Hydranautics,,,,,,,,,River water or low concentrated saline water (TDS 500ppm - <3000ppm),1993,1995,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,City of Hollywood,Presumed Online,Stand-alone,Nitto Denko Corporation,100,,,,,,,,,EPC,,,,,,,,,,,,,,,"37,240,000 USD",,2016-01-27 10:03:59 UTC,26.011201400000001,-80.149490099999994,,,,,,,,,,,,,,Hydranautics,,,,,,,,,,,,,,,,,,,,,,,,,,Nitto Denko Corporation,,,,,,,City of Hollywood,,,,,,Montgomery Watson Harza Inc (MWH) / Metcalf & Eddy Ltd.,,,,,,,,,,,,,,,,,,,,,,,Single Pass,,Electric Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,U.S.A.,Americas,North America,Broward County,Florida,Land based,"Green Meadows BWRO, FL","52,990",XL,14.000000000000000,11.660000000000000,,,,,,RO (Reverse Osmosis),,,,,,,,,,,,Brackish water or inland water (TDS 3000ppm - <20000ppm),2014,2017,,,,Municipalities as drinking water (TDS 10ppm - <1000ppm),,Lee County Utilities,Construction,,,,,,,,,,,,EPC,,,,,,,,,,,,,,,"64,000,000 USD",,2016-08-12 11:14:03 UTC,26.190096000000000,-80.365864999999999,Mike Maillakakis (utilities project manager). Tel: +1 239 533 5672. Bill Beddow (CH2M Hill). Tel: +1 239 596 1715. Amy Hofschneider (procurement analyst). Tel: +1 239 533 5899. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lee County Utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
